datetime,tempmax,tempmin,temp,dew,humidity,precip,windspeed,cloudcover,visibility
2015-01-01,22.0,8.5,16.3,9.3,64.0,0.0,13.0,0.0,7.1
2015-01-02,22.0,11.0,17.0,9.4,65.5,0.0,13.0,0.0,7.1
2015-01-03,22.0,13.1,17.0,12.4,75.3,0.0,13.9,0.0,6.2
2015-01-04,22.3,16.9,19.3,16.1,81.9,0.0,13.0,1.0,5.8
2015-01-05,23.0,18.5,20.4,16.1,88.0,0.0,13.0,1.0,4.2
2015-01-06,23.0,18.5,20.4,16.1,88.0,1.0,13.0,1.0,4.2
2015-01-07,21.5,17.0,18.9,14.7,76.9,1.0,15.7,1.0,8.1
2015-01-08,17.1,14.5,15.8,10.8,76.1,1.0,16.6,1.0,8.1
2015-01-09,16.0,12.0,14.3,10.8,76.1,1.0,15.7,1.0,7.9
2015-01-10,15.0,11.8,13.0,10.6,87.5,1.0,14.8,1.0,7.9
2015-01-11,15.0,11.8,13.0,10.6,87.5,1.0,14.8,1.0,8.6
2015-01-12,20.0,11.8,14.6,10.6,75.6,1.0,11.2,0.0,8.6
2015-01-13,20.1,10.0,14.6,10.1,74.4,0.0,14.8,0.0,8.0
2015-01-14,20.1,10.0,14.6,10.1,74.3,0.0,13.9,0.0,6.8
2015-01-15,21.0,10.0,15.1,9.9,74.4,0.0,13.9,0.0,5.5
2015-01-16,21.5,11.0,15.8,10.1,74.3,0.0,13.9,0.0,5.5
2015-01-17,22.5,11.0,16.6,10.6,69.0,0.0,13.0,0.0,6.5
2015-01-18,22.5,12.3,17.7,10.8,66.1,0.0,13.9,0.0,6.5
2015-01-19,22.0,13.9,17.7,11.0,66.1,0.0,13.0,0.0,5.9
2015-01-20,22.0,14.0,17.9,12.0,73.7,0.0,11.2,0.0,4.3
2015-01-21,22.9,14.0,18.0,13.6,76.0,0.0,11.2,0.0,4.0
2015-01-22,24.0,14.0,18.7,13.9,77.6,0.0,18.4,0.0,4.0
2015-01-23,24.5,16.5,19.7,15.6,78.4,0.0,22.3,0.0,4.6
2015-01-24,26.0,17.5,21.1,17.0,78.5,0.0,24.1,0.0,5.7
2015-01-25,26.0,19.0,21.5,17.1,78.5,1.0,24.1,1.0,7.8
2015-01-26,25.5,19.0,21.5,17.7,80.0,0.0,23.2,1.0,7.8
2015-01-27,25.5,19.0,21.5,18.0,80.1,0.0,23.2,1.0,7.5
2015-01-28,25.5,19.9,21.9,17.7,80.1,0.0,25.9,1.0,7.5
2015-01-29,25.5,19.9,21.9,17.7,80.5,0.0,26.8,1.0,7.6
2015-01-30,21.0,15.0,18.6,15.8,83.5,1.0,26.8,1.0,7.6
2015-01-31,15.4,12.0,13.5,11.5,83.5,1.0,25.0,1.0,7.6
2015-02-01,15.4,12.0,13.5,11.5,83.4,1.0,16.6,1.0,7.1
2015-02-02,16.0,13.0,14.3,11.5,83.4,0.0,10.3,1.0,6.8
2015-02-03,17.2,13.0,14.8,11.5,86.4,0.0,10.3,1.0,5.6
2015-02-04,17.2,13.0,14.8,11.5,86.4,1.0,22.3,1.0,5.6
2015-02-05,16.1,12.0,13.7,10.1,76.2,1.0,22.3,1.0,7.1
2015-02-06,15.0,12.0,13.7,8.6,76.2,0.0,14.8,0.0,7.1
2015-02-07,16.1,13.0,13.9,8.6,66.2,1.0,14.8,1.0,6.0
2015-02-08,17.4,13.0,15.5,10.1,70.9,1.0,11.2,0.0,4.8
2015-02-09,18.2,14.0,15.6,10.2,70.9,0.0,15.7,0.0,4.3
2015-02-10,17.4,14.0,15.6,11.8,81.8,0.0,15.7,0.0,4.3
2015-02-11,18.2,15.0,16.0,12.8,81.8,1.0,15.7,1.0,5.9
2015-02-12,19.4,15.0,17.7,13.3,80.8,0.0,13.9,0.0,5.9
2015-02-13,19.4,16.0,17.7,14.3,80.8,1.0,13.0,1.0,4.4
2015-02-14,19.4,16.9,17.7,16.5,88.0,1.0,13.0,1.0,3.9
2015-02-15,23.0,17.1,20.0,17.9,88.0,1.0,13.0,1.0,3.9
2015-02-16,23.0,18.0,20.7,17.9,84.5,0.0,15.7,1.0,4.2
2015-02-17,23.5,19.5,21.0,18.3,84.5,0.0,17.3,0.0,5.5
2015-02-18,23.5,19.9,21.0,18.4,85.2,0.0,20.5,1.0,4.9
2015-02-19,24.5,20.0,21.4,19.7,85.3,1.0,25.0,1.0,5.8
2015-02-20,26.0,20.9,22.6,19.9,85.3,1.0,25.0,1.0,6.7
2015-02-21,26.5,21.0,23.3,20.3,85.3,0.0,21.4,1.0,7.1
2015-02-22,27.0,21.7,23.6,20.3,83.9,1.0,21.4,1.0,7.9
2015-02-23,27.0,21.7,23.7,20.3,83.9,1.0,22.3,1.0,7.9
2015-02-24,29.0,21.7,24.4,20.7,77.8,1.0,25.0,1.0,9.6
2015-02-25,29.0,22.0,24.7,20.7,77.8,0.0,25.9,1.0,9.6
2015-02-26,28.0,23.0,24.7,21.0,79.6,1.0,25.9,1.0,9.6
2015-02-27,28.0,23.0,24.9,21.0,81.5,1.0,25.9,1.0,9.0
2015-02-28,27.0,23.0,24.5,21.0,81.5,1.0,28.6,1.0,8.6
2015-03-01,23.5,18.6,21.1,17.4,81.5,1.0,22.3,1.0,8.6
2015-03-02,23.5,18.6,21.1,17.3,79.8,1.0,25.9,1.0,7.0
2015-03-03,20.5,18.0,19.4,17.3,78.2,0.0,22.3,1.0,6.9
2015-03-04,21.0,18.0,19.5,17.3,78.2,1.0,15.0,1.0,6.9
2015-03-05,20.5,18.0,19.4,17.3,94.8,1.0,15.0,1.0,5.5
2015-03-06,20.4,16.0,18.3,17.5,94.8,1.0,15.7,1.0,5.4
2015-03-07,20.0,16.0,18.3,17.6,94.9,1.0,15.7,1.0,5.4
2015-03-08,20.0,16.5,18.4,17.6,95.3,1.0,11.2,1.0,3.3
2015-03-09,20.7,18.0,19.6,17.6,95.3,1.0,11.2,1.0,3.3
2015-03-10,20.7,18.0,19.6,17.6,94.2,1.0,16.6,1.0,4.1
2015-03-11,19.9,16.0,17.8,16.7,93.4,1.0,17.5,1.0,7.2
2015-03-12,18.5,15.0,17.2,16.7,93.4,1.0,17.5,1.0,7.2
2015-03-13,18.5,15.0,17.2,16.7,92.9,1.0,13.0,1.0,4.1
2015-03-14,22.0,17.8,19.7,18.4,92.9,1.0,13.0,1.0,4.0
2015-03-15,25.0,20.0,22.6,21.0,90.8,1.0,14.8,1.0,4.1
2015-03-16,27.0,23.0,24.4,22.4,88.9,1.0,21.4,1.0,5.7
2015-03-17,28.5,23.0,25.3,22.6,85.5,1.0,22.3,1.0,6.0
2015-03-18,29.5,23.9,26.1,22.6,82.5,0.0,21.4,1.0,6.1
2015-03-19,29.5,23.9,26.1,22.6,82.5,0.0,20.3,1.0,6.8
2015-03-20,27.0,23.0,24.6,22.5,83.9,1.0,16.8,1.0,6.8
2015-03-21,26.5,23.0,24.5,21.5,83.9,0.0,16.8,1.0,6.4
2015-03-22,26.5,22.0,23.4,20.7,83.9,1.0,16.6,1.0,5.6
2015-03-23,25.0,21.5,23.0,20.3,87.1,1.0,20.3,1.0,5.6
2015-03-24,23.0,19.0,20.2,18.9,87.1,1.0,15.7,1.0,6.8
2015-03-25,22.0,19.0,20.2,18.9,89.4,1.0,13.0,1.0,6.8
2015-03-26,22.0,19.0,20.4,18.9,87.8,1.0,11.2,1.0,5.5
2015-03-27,24.1,20.2,22.0,19.8,87.8,1.0,11.2,1.0,5.5
2015-03-28,27.0,20.9,23.2,20.1,83.5,1.0,21.1,1.0,6.1
2015-03-29,28.2,21.8,24.6,21.2,81.8,1.0,21.4,1.0,7.9
2015-03-30,30.0,22.8,25.9,22.1,80.9,0.0,25.9,1.0,9.2
2015-03-31,30.0,24.0,26.5,22.8,80.9,0.0,25.9,1.0,9.2
2015-04-01,30.0,24.1,26.7,23.6,80.9,0.0,25.9,1.0,9.1
2015-04-02,33.4,24.1,27.8,23.7,80.6,0.0,24.1,1.0,9.0
2015-04-03,33.4,24.1,27.9,23.8,80.4,0.0,24.1,0.0,8.3
2015-04-04,33.0,24.5,27.9,23.8,80.0,0.0,24.1,0.0,8.3
2015-04-05,31.0,25.0,27.7,23.7,80.4,0.0,24.1,1.0,8.6
2015-04-06,27.0,25.0,25.8,23.4,86.8,1.0,22.3,1.0,8.6
2015-04-07,26.4,22.5,25.0,22.8,86.8,1.0,22.3,1.0,8.6
2015-04-08,22.0,17.0,19.5,15.8,87.6,1.0,22.3,1.0,8.5
2015-04-09,19.5,16.8,17.9,15.8,86.4,1.0,18.4,1.0,8.6
2015-04-10,19.5,16.8,17.9,15.8,86.4,1.0,16.7,1.0,8.3
2015-04-11,23.0,17.0,20.1,15.8,79.0,1.0,15.7,1.0,8.6
2015-04-12,28.0,17.5,23.3,15.1,69.0,0.0,15.7,0.0,8.8
2015-04-13,30.0,17.5,23.4,16.1,62.5,0.0,18.5,0.0,8.8
2015-04-14,30.0,17.5,23.9,16.9,62.5,0.0,23.2,0.0,8.7
2015-04-15,29.5,19.0,23.9,17.7,70.1,0.0,23.2,0.0,8.0
2015-04-16,28.5,21.0,24.0,20.0,79.2,0.0,23.2,1.0,8.7
2015-04-17,28.5,23.0,25.4,21.5,79.4,0.0,21.4,1.0,7.5
2015-04-18,31.0,24.8,27.4,23.7,80.9,0.0,20.5,1.0,8.1
2015-04-19,33.9,25.4,28.6,23.7,80.9,0.0,20.5,1.0,7.9
2015-04-20,33.9,25.4,28.6,23.7,74.3,0.0,19.4,0.0,8.1
2015-04-21,29.0,23.0,26.5,18.7,74.3,0.0,19.4,0.0,9.3
2015-04-22,23.5,21.0,22.3,18.5,80.2,1.0,18.6,1.0,9.3
2015-04-23,23.5,21.0,22.3,18.5,80.2,1.0,16.6,1.0,8.0
2015-04-24,26.7,21.0,23.5,18.6,74.0,1.0,13.9,1.0,8.0
2015-04-25,27.0,21.0,24.5,18.6,74.0,1.0,13.9,0.0,8.0
2015-04-26,30.0,23.0,25.5,20.5,74.9,0.0,15.7,0.0,7.8
2015-04-27,31.5,23.0,26.7,21.6,75.3,1.0,19.5,1.0,7.8
2015-04-28,32.0,24.0,27.2,22.7,77.4,1.0,19.5,1.0,8.5
2015-04-29,32.5,24.9,28.2,23.6,77.9,1.0,22.3,1.0,8.8
2015-04-30,32.5,25.9,28.5,24.2,78.5,1.0,25.9,1.0,9.4
2015-05-01,34.5,26.0,29.4,25.1,78.5,1.0,25.9,0.0,9.8
2015-05-02,34.5,26.6,29.8,25.3,77.6,0.0,25.0,1.0,10.1
2015-05-03,34.0,26.8,30.0,25.3,77.1,0.0,24.1,1.0,10.1
